Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-18,"3,709.40","3,815.10","3,819.60","3,658.80",545.83K,-2.77%
30-Dec-18,"3,815.00","3,708.20","3,837.70","3,682.50",519.17K,2.92%
29-Dec-18,"3,706.80","3,861.60","3,899.60","3,696.00",505.41K,-4.01%
28-Dec-18,"3,861.60","3,587.10","3,900.30","3,565.50",565.24K,7.66%
27-Dec-18,"3,586.90","3,793.40","3,822.60","3,560.80",543.44K,-5.45%
26-Dec-18,"3,793.70","3,762.80","3,841.90","3,680.30",567.11K,0.83%
25-Dec-18,"3,762.50","4,025.60","4,030.70","3,676.50",670.94K,-6.55%
24-Dec-18,"4,026.10","3,944.50","4,208.20","3,941.90",716.29K,2.07%
23-Dec-18,"3,944.40","3,964.30","4,037.10","3,904.60",572.21K,-0.50%
22-Dec-18,"3,964.40","3,850.90","3,977.20","3,803.70",554.59K,2.95%
21-Dec-18,"3,850.90","4,075.20","4,153.10","3,786.90",748.76K,-5.52%
20-Dec-18,"4,076.00","3,687.20","4,140.30","3,665.80",958.58K,10.55%
19-Dec-18,"3,687.10","3,668.10","3,924.70","3,647.50",792.40K,0.52%
18-Dec-18,"3,668.00","3,526.00","3,683.10","3,456.90",698.53K,4.02%
17-Dec-18,"3,526.10","3,248.30","3,597.40","3,243.10",534.78K,8.57%
16-Dec-18,"3,247.90","3,228.60","3,305.00","3,225.90",335.69K,0.60%
15-Dec-18,"3,228.70","3,247.80","3,282.30","3,177.00",332.95K,-0.59%
14-Dec-18,"3,247.80","3,315.40","3,336.60","3,199.10",445.56K,-2.04%
13-Dec-18,"3,315.30","3,466.20","3,474.40","3,284.80",435.89K,-4.35%
12-Dec-18,"3,466.10","3,390.20","3,510.20","3,379.40",391.17K,1.72%
11-Dec-18,"3,407.70","3,460.40","3,485.90","3,349.90",418.53K,-1.53%
10-Dec-18,"3,460.50","3,566.90","3,622.40","3,412.70",394.49K,-3.00%
9-Dec-18,"3,567.50","3,430.30","3,677.60","3,424.20",327.93K,4.00%
8-Dec-18,"3,430.40","3,422.30","3,507.70","3,302.90",424.40K,0.24%
7-Dec-18,"3,422.20","3,508.90","3,626.60","3,251.80",639.33K,-2.46%
6-Dec-18,"3,508.60","3,771.40","3,887.20","3,505.70",467.54K,-6.97%
5-Dec-18,"3,771.60","3,958.10","3,974.10","3,765.20",341.60K,-4.72%
4-Dec-18,"3,958.50","3,899.90","4,082.90","3,809.30",326.71K,1.56%
3-Dec-18,"3,897.80","4,160.30","4,177.00","3,839.90",355.10K,-6.31%
2-Dec-18,"4,160.40","4,196.20","4,316.10","4,105.30",298.63K,-0.85%
1-Dec-18,"4,196.20","4,038.70","4,299.10","3,967.10",316.30K,3.87%
30-Nov-18,"4,039.70","4,296.80","4,340.60","3,954.50",444.52K,-5.98%
29-Nov-18,"4,296.50","4,265.50","4,440.10","4,140.60",414.46K,0.73%
28-Nov-18,"4,265.40","3,866.40","4,391.80","3,866.40",533.04K,10.32%
27-Nov-18,"3,866.50","3,840.30","3,920.60","3,687.80",457.27K,0.77%
26-Nov-18,"3,837.00","4,061.00","4,179.00","3,679.80",571.04K,-5.54%
25-Nov-18,"4,062.20","3,920.30","4,198.40","3,634.20",619.95K,3.62%
24-Nov-18,"3,920.40","4,397.30","4,494.60","3,821.50",382.72K,-10.86%
23-Nov-18,"4,398.00","4,360.90","4,455.60","4,223.70",348.99K,0.96%
22-Nov-18,"4,356.00","4,646.40","4,695.70","4,346.70",261.85K,-6.09%
21-Nov-18,"4,638.70","4,523.00","4,743.70","4,393.00",412.74K,2.52%
20-Nov-18,"4,524.60","4,883.60","5,013.40","4,272.30",714.08K,-7.36%
19-Nov-18,"4,883.80","5,660.40","5,662.50","4,831.10",478.26K,-13.69%
18-Nov-18,"5,658.30","5,621.00","5,727.90","5,615.50",158.68K,0.65%
