Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-16,963.4,959,965.5,942.4,27.56K,0.45%
30-Dec-16,959,971.1,971.6,927.4,70.84K,-1.24%
29-Dec-16,971.1,972.2,982.6,949.2,61.13K,-0.11%
28-Dec-16,972.2,925.8,974.5,925.5,77.29K,5.01%
27-Dec-16,925.8,898.4,937.9,893.4,49.69K,3.05%
26-Dec-16,898.4,891.1,909.3,885.9,38.79K,0.82%
25-Dec-16,891.1,891.1,895.2,851.4,42.48K,0.00%
24-Dec-16,891.1,917.2,920.5,880.8,46.03K,-2.85%
23-Dec-16,917.2,860.2,920.3,858,102.22K,6.63%
22-Dec-16,860.2,829.2,874.7,828.9,70.56K,3.73%
21-Dec-16,829.2,799.1,833.1,796,65.29K,3.77%
20-Dec-16,799.1,789.8,800,787.1,34.48K,1.18%
19-Dec-16,789.8,789,793.7,786.3,25.46K,0.10%
18-Dec-16,789,787.2,791.3,783.8,14.53K,0.23%
17-Dec-16,787.2,782,791.6,779.4,23.58K,0.65%
16-Dec-16,782,775.2,783.9,773.3,27.61K,0.88%
15-Dec-16,775.2,776.5,780.3,773.1,26.22K,-0.17%
14-Dec-16,776.5,778.7,780.8,771,24.78K,-0.29%
13-Dec-16,778.7,778.5,790.3,767.8,33.11K,0.03%
12-Dec-16,778.5,767.9,781.3,767.9,28.76K,1.38%
11-Dec-16,767.9,774,774.2,763,17.14K,-0.79%
10-Dec-16,774,770.5,777,769.2,18.02K,0.46%
9-Dec-16,770.5,768.5,773.5,765,24.18K,0.26%
8-Dec-16,768.5,765.6,773.4,761.2,28.78K,0.38%
7-Dec-16,765.6,758.2,769,754.3,34.87K,0.97%
6-Dec-16,758.2,754.3,762.5,750.9,33.43K,0.51%
5-Dec-16,754.3,766.4,769.2,746,51.17K,-1.57%
4-Dec-16,766.4,764.2,769.2,758.8,19.16K,0.28%
3-Dec-16,764.2,770.9,772.3,755.8,38.45K,-0.87%
2-Dec-16,770.9,752.6,779,752.3,63.22K,2.43%
1-Dec-16,752.6,742.5,755.5,741.1,54.03K,1.37%
30-Nov-16,742.5,732.6,745.4,730.6,39.28K,1.36%
29-Nov-16,732.6,733.3,737,727.8,32.57K,-0.10%
28-Nov-16,733.3,729.4,738.1,727.7,34.12K,0.53%
27-Nov-16,729.4,734.1,738.3,727.1,21.35K,-0.64%
26-Nov-16,734.1,740.4,741,725.6,22.58K,-0.84%
25-Nov-16,740.4,735.3,741.3,729,28.85K,0.69%
24-Nov-16,735.3,741.1,744.2,726.2,37.24K,-0.78%
23-Nov-16,741.1,749.3,750.9,731.3,37.87K,-1.10%
22-Nov-16,749.3,736.2,754,730.6,44.44K,1.79%
21-Nov-16,736.2,728.5,744.3,726.5,32.51K,1.05%
20-Nov-16,728.5,747.9,752.3,712.8,47.42K,-2.59%
19-Nov-16,747.9,747,755.3,737.4,25.63K,0.12%
18-Nov-16,747,737.5,751.4,731,39.71K,1.28%
17-Nov-16,737.5,740.3,751.9,730.1,62.77K,-0.37%
16-Nov-16,740.3,711.1,746,708.1,79.57K,4.10%
15-Nov-16,711.1,704.6,716.9,697.9,41.40K,0.93%
14-Nov-16,704.6,702,708,696.1,37.75K,0.37%
13-Nov-16,702,704.3,705.6,685,36.14K,-0.33%
12-Nov-16,704.3,715,717.4,701.1,27.60K,-1.50%
11-Nov-16,715,714.6,719.8,711.7,25.58K,0.06%
10-Nov-16,714.6,721.4,723,707.3,33.33K,-0.95%
9-Nov-16,721.4,710.9,741.2,707.1,70.70K,1.48%
8-Nov-16,710.9,705.4,714.6,701,39.73K,0.78%
7-Nov-16,705.4,709.9,711.7,698.3,30.74K,-0.64%
6-Nov-16,709.9,702.1,714.1,697.6,25.81K,1.11%
5-Nov-16,702.1,702.1,706.4,694,22.02K,0.00%
4-Nov-16,702.1,684.9,706.6,681.3,48.24K,2.51%
3-Nov-16,684.9,733.5,744.4,670.4,96.41K,-6.63%
2-Nov-16,733.5,726.8,735.8,718.1,39.04K,0.93%
1-Nov-16,726.8,698.7,734.4,695.2,68.07K,4.02%
31-Oct-16,698.7,697.3,707.2,682.2,38.05K,0.20%
30-Oct-16,697.3,715,714.9,689.5,39.33K,-2.47%
29-Oct-16,715,686.2,720.2,685.2,54.03K,4.18%
28-Oct-16,686.2,682.3,688.4,678.6,38.97K,0.58%
27-Oct-16,682.3,674.7,687.9,672.3,46.56K,1.13%
26-Oct-16,674.7,651,678.4,651.4,47.67K,3.64%
25-Oct-16,651,650.5,662.5,647.7,36.74K,0.08%
24-Oct-16,650.5,653,654.3,645.7,33.24K,-0.39%
23-Oct-16,653,655.5,661.2,648.8,21.91K,-0.37%
22-Oct-16,655.5,630.5,659.9,629.7,37.10K,3.97%
21-Oct-16,630.5,628.3,633.3,627.6,28.09K,0.34%
