Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-14,318.2,311.3,319.1,308.9,20.50K,2.24%
30-Dec-14,311.3,314.1,316.2,309.3,22.78K,-0.91%
29-Dec-14,314.1,316.5,321.6,308.3,20.36K,-0.76%
28-Dec-14,316.5,315.3,322.8,310.5,20.41K,0.38%
27-Dec-14,315.3,330,330.7,312,21.63K,-4.44%
26-Dec-14,330,319,332.9,316.4,23.01K,3.45%
25-Dec-14,319,322.4,323.4,316.3,15.39K,-1.06%
24-Dec-14,322.4,335.3,336.3,320.6,21.52K,-3.83%
23-Dec-14,335.3,330.8,339.3,328,24.07K,1.33%
22-Dec-14,330.8,322.6,335.3,319.9,35.36K,2.54%
21-Dec-14,322.6,330.4,332,320.1,20.67K,-2.34%
20-Dec-14,330.4,317.8,332.6,316,29.92K,3.96%
19-Dec-14,317.8,310.3,320.2,306.4,41.71K,2.40%
18-Dec-14,310.3,320,325.6,303.4,60.52K,-3.02%
17-Dec-14,320,330.2,335.7,314.3,61.34K,-3.09%
16-Dec-14,330.2,345.4,346.5,328.9,38.59K,-4.39%
15-Dec-14,345.4,349.4,351.2,343.6,22.16K,-1.14%
14-Dec-14,349.4,348.2,351.6,344.6,12.34K,0.32%
13-Dec-14,348.2,353.4,353.1,343.8,19.54K,-1.46%
12-Dec-14,353.4,347.7,356.4,346,26.85K,1.65%
11-Dec-14,347.7,347.9,367.1,337.8,51.08K,-0.07%
10-Dec-14,347.9,352.2,354.1,345.1,27.13K,-1.21%
9-Dec-14,352.2,365,365.4,343.8,43.83K,-3.50%
8-Dec-14,365,376.5,377.4,364.6,22.92K,-3.06%
7-Dec-14,376.5,376.3,377.9,372.5,8.81K,0.06%
6-Dec-14,376.3,377.6,380.3,372,11.07K,-0.36%
5-Dec-14,377.6,369.8,379.7,366.4,29.99K,2.11%
4-Dec-14,369.8,377,380.4,366.2,25.33K,-1.89%
3-Dec-14,377,380.6,384.7,373.6,23.51K,-0.97%
2-Dec-14,380.6,378.6,384.9,375.4,25.29K,0.54%
1-Dec-14,378.6,374.9,383.6,373,19.67K,0.98%
30-Nov-14,374.9,376.3,381.1,372.6,11.29K,-0.36%
29-Nov-14,376.3,377.6,389.3,372.2,83.45K,-0.35%
28-Nov-14,377.6,368.8,383.3,358.4,43.02K,2.38%
27-Nov-14,368.8,365.4,374.4,364.8,13.85K,0.95%
26-Nov-14,365.4,376.4,378.3,364,23.98K,-2.94%
