Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-10,0.3,0.3,0.3,0.3,1.45K,0.00%
30-Dec-10,0.3,0.3,0.3,0.3,2.54K,0.00%
29-Dec-10,0.3,0.3,0.3,0.3,18.61K,0.00%
28-Dec-10,0.3,0.3,0.3,0.3,15.44K,0.00%
27-Dec-10,0.3,0.3,0.3,0.3,4.94K,0.00%
26-Dec-10,0.3,0.2,0.3,0.2,16.59K,0.00%
25-Dec-10,0.2,0.2,0.3,0.2,0.70K,0.00%
24-Dec-10,0.2,0.3,0.3,0.2,5.03K,0.00%
23-Dec-10,0.3,0.3,0.3,0.2,8.65K,0.00%
22-Dec-10,0.3,0.2,0.3,0.2,3.80K,0.00%
21-Dec-10,0.2,0.3,0.3,0.2,9.23K,0.00%
20-Dec-10,0.3,0.2,0.3,0.2,10.68K,0.00%
19-Dec-10,0.2,0.2,0.2,0.2,2.00K,0.00%
18-Dec-10,0.2,0.2,0.2,0.2,0.17K,0.00%
17-Dec-10,0.2,0.3,0.2,0.2,0.53K,0.00%
16-Dec-10,0.3,0.2,0.3,0.2,14.36K,0.00%
15-Dec-10,0.2,0.2,0.2,0.2,3.69K,0.00%
14-Dec-10,0.2,0.2,0.2,0.2,10.39K,0.00%
13-Dec-10,0.2,0.2,0.2,0.2,6.42K,0.00%
12-Dec-10,0.2,0.2,0.2,0.2,1.96K,0.00%
11-Dec-10,0.2,0.2,0.2,0.2,5.79K,0.00%
10-Dec-10,0.2,0.2,0.2,0.2,1.68K,0.00%
9-Dec-10,0.2,0.2,0.2,0.2,21.34K,0.00%
8-Dec-10,0.2,0.2,0.2,0.2,3.43K,0.00%
7-Dec-10,0.2,0.2,0.2,0.2,24.59K,0.00%
6-Dec-10,0.2,0.2,0.2,0.2,4.32K,0.00%
5-Dec-10,0.2,0.2,0.2,0.2,5.74K,0.00%
4-Dec-10,0.2,0.3,0.3,0.2,28.56K,0.00%
3-Dec-10,0.3,0.3,0.3,0.2,2.57K,0.00%
