Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-11,4.7,4.3,5,4.2,129.73K,11.06%
30-Dec-11,4.3,4.2,4.3,4.1,41.07K,1.92%
29-Dec-11,4.2,4.2,4.3,4.1,53.07K,0.00%
28-Dec-11,4.2,4.1,4.3,4,33.84K,2.95%
27-Dec-11,4.1,4,4.1,4,30.16K,1.24%
26-Dec-11,4,4.2,4.3,3.8,88.83K,-4.74%
25-Dec-11,4.2,3.9,4.4,3.8,80.80K,7.11%
24-Dec-11,3.9,4,4,3.9,14.93K,0.00%
23-Dec-11,4,3.9,4,3.8,20.50K,1.54%
22-Dec-11,3.9,3.9,4,3.5,57.21K,0.00%
21-Dec-11,3.9,4,4,3.8,48.79K,-1.52%
20-Dec-11,4,3.5,4.5,3.5,186.41K,12.22%
19-Dec-11,3.5,3.2,3.7,3.2,139.99K,10.34%
18-Dec-11,3.2,3.2,3.2,3.2,10.79K,0.00%
17-Dec-11,3.2,3.2,3.2,3.2,16.48K,0.00%
16-Dec-11,3.2,3.2,3.2,3.2,29.87K,0.00%
15-Dec-11,3.2,3.2,3.2,3.1,30.09K,0.00%
14-Dec-11,3.2,3.3,3.3,3,72.48K,-3.08%
13-Dec-11,3.3,3.1,3.3,3.1,32.66K,3.50%
12-Dec-11,3.1,3.3,3.3,3.1,39.90K,-3.38%
11-Dec-11,3.3,3,3.4,3,108.22K,6.56%
10-Dec-11,3,3,3.1,2.9,74.31K,2.69%
9-Dec-11,3,3,3,2.9,34.39K,0.00%
8-Dec-11,3,3,3,2.9,39.93K,0.00%
7-Dec-11,3,3,3.1,2.9,58.12K,0.00%
6-Dec-11,3,2.9,3,2.9,55.60K,5.21%
5-Dec-11,2.9,2.8,2.9,2.8,30.89K,1.77%
4-Dec-11,2.8,2.8,2.9,2.6,95.22K,0.00%
3-Dec-11,2.8,3.1,3.1,2.8,123.02K,-10.58%
2-Dec-11,3.1,3.1,3.1,3,57.50K,1.96%
1-Dec-11,3.1,3,3.1,2.9,63.86K,3.03%
30-Nov-11,3,2.8,3.1,2.7,120.15K,8.00%
29-Nov-11,2.8,2.5,3,2.5,180.53K,7.84%
28-Nov-11,2.5,2.5,2.5,2.4,41.26K,2.82%
