Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-15,430,427.1,433.1,417.1,65.21K,0.66%
30-Dec-15,427.1,431.9,435,420.8,68.27K,-1.10%
29-Dec-15,431.9,421.8,433.6,419.3,70.65K,2.41%
28-Dec-15,421.8,422.4,429.9,417.1,68.35K,-0.15%
27-Dec-15,422.4,415.4,425.5,406.1,67.58K,1.69%
26-Dec-15,415.4,454,456.5,400.5,208.58K,-8.52%
25-Dec-15,454,453,457.4,449.5,42.39K,0.24%
24-Dec-15,453,442.4,460.6,441.8,79.60K,2.38%
23-Dec-15,442.4,437,444.8,434.3,63.25K,1.24%
22-Dec-15,437,437.6,443.2,433.3,65.79K,-0.13%
21-Dec-15,437.6,441.8,445.5,424,121.99K,-0.95%
20-Dec-15,441.8,461.2,462.8,431.1,121.53K,-4.21%
19-Dec-15,461.2,463.2,466,452.3,61.31K,-0.43%
18-Dec-15,463.2,455.5,466.1,453.5,83.41K,1.68%
17-Dec-15,455.5,454,458.4,447.3,64.58K,0.34%
16-Dec-15,454,462.6,465.2,437.4,185.22K,-1.87%
15-Dec-15,462.6,442,464.2,440.7,107.06K,4.67%
14-Dec-15,442,434.7,449.5,428.8,218.92K,1.68%
13-Dec-15,434.7,432.3,441,420.8,64.14K,0.56%
12-Dec-15,432.3,449.8,467.7,403.7,211.44K,-3.90%
11-Dec-15,449.8,415.5,453.4,413.7,175.06K,8.26%
10-Dec-15,415.5,416,420.4,409.5,71.66K,-0.12%
9-Dec-15,416,410.7,424.6,403.3,147.36K,1.30%
8-Dec-15,410.7,394.3,411.1,388,74.36K,4.16%
7-Dec-15,394.3,393.4,398.7,381.7,96.75K,0.23%
6-Dec-15,393.4,386.7,402.2,382.6,131.86K,1.73%
5-Dec-15,386.7,361.7,390.3,361.5,115.20K,6.92%
4-Dec-15,361.7,360.3,364,354.3,60.55K,0.38%
3-Dec-15,360.3,360,371.4,355.5,87.23K,0.09%
2-Dec-15,360,361.8,363.4,347.2,92.45K,-0.50%
1-Dec-15,361.8,378,379,353.7,111.91K,-4.28%
30-Nov-15,378,370.8,382.6,367.9,129.77K,1.92%
29-Nov-15,370.8,355.8,372.8,354.5,67.37K,4.22%
28-Nov-15,355.8,359.5,360.1,350.5,56.17K,-1.03%
27-Nov-15,359.5,353.7,363.9,345.1,103.48K,1.63%
26-Nov-15,353.7,327.5,368.9,327.4,211.38K,8.01%
25-Nov-15,327.5,318.4,330,315.7,77.68K,2.88%
24-Nov-15,318.4,322.1,323.3,315.5,50.66K,-1.17%
23-Nov-15,322.1,322.8,325,319.9,42.73K,-0.20%
22-Nov-15,322.8,324.7,326.9,319.4,36.75K,-0.59%
21-Nov-15,324.7,321.1,328.4,318.4,45.00K,1.11%
20-Nov-15,321.1,325,327.1,309.5,109.99K,-1.19%
19-Nov-15,325,335.9,335.6,323.4,86.38K,-3.26%
18-Nov-15,335.9,333.9,337.4,329.4,78.36K,0.60%
17-Nov-15,333.9,330.2,342.9,328.1,98.25K,1.12%
16-Nov-15,330.2,317.5,332,314.1,87.14K,4.02%
15-Nov-15,317.5,331.8,334.8,314.2,88.32K,-4.32%
14-Nov-15,331.8,333.8,369.8,326.4,71.11K,-0.60%
13-Nov-15,333.8,333.9,341.8,323.9,97.25K,-0.02%
12-Nov-15,333.9,304.7,346.1,306.1,164.61K,9.56%
11-Nov-15,304.7,336.7,341.8,292.4,263.96K,-9.50%
10-Nov-15,336.7,380.2,381.4,323.2,210.29K,-11.45%
9-Nov-15,380.2,371.6,385.1,360.2,125.54K,2.33%
8-Nov-15,371.6,385.1,389.8,365.5,94.36K,-3.51%
7-Nov-15,385.1,369.8,391.8,369,103.03K,4.13%
6-Nov-15,369.8,382.7,396.4,348.8,255.28K,-3.37%
5-Nov-15,382.7,400.9,447.2,366.1,302.95K,-4.54%
4-Nov-15,400.9,396.5,492.8,368.6,517.73K,1.11%
3-Nov-15,396.5,359.3,416.8,354.6,421.99K,10.36%
2-Nov-15,359.3,323,365.8,319.8,223.10K,11.25%
1-Nov-15,323,311.2,324.3,304.7,73.71K,3.76%
31-Oct-15,311.2,327.1,333.3,304.6,105.83K,-4.85%
30-Oct-15,327.1,313.6,334.9,310.8,156.49K,4.30%
29-Oct-15,313.6,303.5,318.5,300.2,138.92K,3.32%
28-Oct-15,303.5,294.7,307.5,294,116.41K,3.01%
27-Oct-15,294.7,285.1,298.4,285.1,105.87K,3.34%
26-Oct-15,285.1,287.9,287.6,279.6,73.21K,-0.94%
25-Oct-15,287.9,282.6,295.6,281.8,113.90K,1.88%
24-Oct-15,282.6,276.9,283,277,60.13K,2.04%
23-Oct-15,276.9,274.4,279.8,273.2,69.32K,0.91%
22-Oct-15,274.4,267.1,278.7,266.8,93.15K,2.74%
21-Oct-15,267.1,269.8,272.2,263.5,59.64K,-0.98%
20-Oct-15,269.8,263.8,272.1,262.7,75.40K,2.25%
19-Oct-15,263.8,261.7,266,259.9,58.17K,0.82%
18-Oct-15,261.7,269.6,272.4,259.5,52.27K,-2.93%
17-Oct-15,269.6,262.9,275.4,261.7,113.84K,2.55%
16-Oct-15,262.9,254.4,267.3,253.9,95.18K,3.31%
15-Oct-15,254.4,252.3,256.8,251.2,60.64K,0.84%
14-Oct-15,252.3,248.8,255.1,248.3,69.58K,1.43%
13-Oct-15,248.8,245.4,251.2,243.1,74.88K,1.40%
12-Oct-15,245.4,247.6,248,244.6,40.39K,-0.93%
11-Oct-15,247.6,245.4,248.3,244.5,41.43K,0.94%
10-Oct-15,245.4,244,245.9,242.9,38.96K,0.54%
9-Oct-15,244,242.6,244.6,241.3,40.57K,0.60%
8-Oct-15,242.6,243,244.8,241.6,44.15K,-0.16%
7-Oct-15,243,246.1,247.3,241.6,62.60K,-1.28%
6-Oct-15,246.1,240.1,247.6,239.4,78.84K,2.49%
5-Oct-15,240.1,238.3,240.5,236.4,61.24K,0.76%
4-Oct-15,238.3,238.6,277.6,237.5,31.85K,-0.10%
3-Oct-15,238.6,236.7,239.5,236.1,43.31K,0.79%
2-Oct-15,236.7,237.1,238.4,235.1,47.94K,-0.14%
1-Oct-15,237.1,235.9,238.7,234.7,52.88K,0.47%
30-Sep-15,235.9,236.7,237.8,234.4,50.52K,-0.33%
29-Sep-15,236.7,238.9,240.4,234.8,57.30K,-0.90%
28-Sep-15,238.9,232.5,240.4,232.4,64.28K,2.74%
27-Sep-15,232.5,234.3,234.8,231.8,36.14K,-0.77%
26-Sep-15,234.3,235,235.7,232.7,40.29K,-0.31%
25-Sep-15,235,233.8,237.6,232.7,61.58K,0.54%
24-Sep-15,233.8,229.9,235.8,229.6,72.12K,1.68%
23-Sep-15,229.9,230,232.2,228.5,43.60K,-0.05%
22-Sep-15,230,226.3,233.2,224.1,71.55K,1.63%
21-Sep-15,226.3,231.1,231.6,225,53.43K,-2.06%
20-Sep-15,231.1,231.1,232.7,229.9,33.15K,0.00%
19-Sep-15,231.1,232.2,233.4,230.2,34.47K,-0.47%
18-Sep-15,232.2,232.7,234.7,230.6,53.17K,-0.22%
17-Sep-15,232.7,228.6,235.2,227.9,56.06K,1.80%
16-Sep-15,228.6,229.5,230.9,225.1,51.91K,-0.41%
15-Sep-15,229.5,229.9,242.8,228,49.52K,-0.17%
14-Sep-15,229.9,230.2,232.6,226,61.10K,-0.12%
13-Sep-15,230.2,235.6,236.2,228.3,51.60K,-2.30%
12-Sep-15,235.6,239.9,240.3,233.3,43.77K,-1.79%
11-Sep-15,239.9,238.1,241,237.4,45.77K,0.76%
10-Sep-15,238.1,237.4,240.6,234.3,60.54K,0.28%
9-Sep-15,237.4,243.2,244.3,236.5,69.26K,-2.40%
8-Sep-15,243.2,239.6,246.4,239.2,76.35K,1.53%
7-Sep-15,239.6,239.9,242.7,237.5,57.19K,-0.12%
6-Sep-15,239.9,233.7,243.6,234.7,66.27K,2.65%
5-Sep-15,233.7,230.3,235.6,228.3,48.28K,1.49%
4-Sep-15,230.3,226.2,231.1,225.8,61.76K,1.79%
3-Sep-15,226.2,228.6,229.6,225.4,54.15K,-1.06%
2-Sep-15,228.6,227.2,230.6,225.6,58.77K,0.64%
1-Sep-15,227.2,229.5,231.4,225.8,66.54K,-1.00%
31-Aug-15,229.5,228.4,231.8,224.2,54.51K,0.47%
30-Aug-15,228.4,228.5,232.3,225.4,39.81K,-0.04%
29-Aug-15,228.5,231.6,233.1,226.4,43.74K,-1.36%
28-Aug-15,231.6,222.7,234.8,219.6,90.66K,4.00%
27-Aug-15,222.7,225,228.4,222,60.25K,-1.00%
26-Aug-15,225,220.5,230.7,218.8,92.81K,2.02%
25-Aug-15,220.5,211.4,226.6,196.3,190.79K,4.29%
24-Aug-15,211.4,226.8,228.4,207.8,196.70K,-6.76%
23-Aug-15,226.8,229.5,232.7,224.3,48.84K,-1.22%
22-Aug-15,229.5,232.4,235.1,221,74.21K,-1.23%
21-Aug-15,232.4,234.7,236.3,230.5,57.65K,-0.96%
20-Aug-15,234.7,226,238,225.5,90.98K,3.83%
19-Aug-15,226,246.7,247.9,214.3,245.82K,-8.40%
18-Aug-15,246.7,257.1,257.5,245.7,94.50K,-4.05%
17-Aug-15,257.1,257.1,259.9,252.9,47.88K,0.00%
16-Aug-15,257.1,260.5,261.9,254.6,69.04K,-1.31%
15-Aug-15,260.5,265,266.5,259.4,38.91K,-1.70%
14-Aug-15,265,263.4,267.2,260.2,52.33K,0.60%
13-Aug-15,263.4,267.7,268.4,261.3,56.49K,-1.58%
12-Aug-15,267.7,269,271.5,263.7,56.73K,-0.51%
11-Aug-15,269,263.3,269.9,261.4,51.36K,2.18%
10-Aug-15,263.3,263.9,266.6,260.5,48.57K,-0.22%
9-Aug-15,263.9,258.6,266.8,258.6,57.48K,2.04%
8-Aug-15,258.6,277.9,278.9,257.4,82.54K,-6.94%
7-Aug-15,277.9,278,279.6,274.3,42.81K,-0.04%
6-Aug-15,278,281.7,282,276.5,33.26K,-1.32%
5-Aug-15,281.7,284.3,285.5,280.5,38.29K,-0.91%
4-Aug-15,284.3,281.6,285.7,279.6,44.84K,0.97%
