Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-13,805.9,804.8,813.9,777,9.17K,0.14%
30-Dec-13,804.8,785,818.8,781,10.48K,2.53%
29-Dec-13,785,762,804,735,7.04K,3.01%
28-Dec-13,762,803,806,715.6,13.34K,-5.11%
27-Dec-13,803,802,836.8,767.9,13.89K,0.13%
26-Dec-13,802,707.3,829.6,707.2,23.53K,13.39%
25-Dec-13,707.3,702.8,710,673.9,5.34K,0.64%
24-Dec-13,702.8,713.2,729.9,666,10.95K,-1.47%
23-Dec-13,713.2,639.5,724.9,631,15.07K,11.53%
22-Dec-13,639.5,640.5,699.9,615,11.63K,-0.15%
21-Dec-13,640.5,650,690,610,14.73K,-1.46%
20-Dec-13,650,732,774.4,621.3,34.77K,-11.20%
19-Dec-13,732,541,746,522.4,45.76K,35.30%
18-Dec-13,541,715,717,454.9,110.50K,-24.34%
17-Dec-13,715,759.9,780,678.9,31.71K,-5.92%
16-Dec-13,759.9,919.9,924.9,714,41.33K,-17.39%
15-Dec-13,919.9,908.9,927.9,838,15.17K,1.20%
14-Dec-13,908.9,936.8,947.9,875.1,11.59K,-2.97%
13-Dec-13,936.8,900,989.9,882.1,17.37K,4.09%
12-Dec-13,900,919.9,941,839.5,9.91K,-2.17%
11-Dec-13,919.9,"1,033.70","1,056.80",856.1,24.36K,-11.01%
10-Dec-13,"1,033.70",919,"1,067.70",912,22.10K,12.49%
9-Dec-13,919,804,980,787.7,27.63K,14.30%
8-Dec-13,804,697,829,653,31.21K,15.34%
7-Dec-13,697,845,896,576,97.66K,-17.51%
6-Dec-13,845,"1,106.30","1,118.90",800.1,53.52K,-23.62%
5-Dec-13,"1,106.30","1,237.60","1,239.90",870,58.44K,-10.60%
4-Dec-13,"1,237.60","1,154.90","1,239.70","1,131.30",16.30K,7.16%
3-Dec-13,"1,154.90","1,096.60","1,185.60","1,064.90",19.34K,5.32%
2-Dec-13,"1,096.60","1,004.40","1,117.70",975,37.05K,9.18%
1-Dec-13,"1,004.40","1,205.70","1,216.80",840.3,79.92K,-16.69%
30-Nov-13,"1,205.70","1,206.90","1,232.90","1,150.20",15.10K,-0.11%
29-Nov-13,"1,206.90","1,101.40","1,241.90","1,050.00",38.71K,9.58%
28-Nov-13,"1,101.40","1,079.90","1,224.50","1,032.10",37.40K,1.99%
27-Nov-13,"1,079.90",970,"1,094.80",914.3,37.86K,11.33%
26-Nov-13,970,830,975,825.1,31.61K,16.86%
25-Nov-13,830,795,850,759,26.38K,4.40%
24-Nov-13,795,832.5,855,745.2,25.95K,-4.50%
23-Nov-13,832.5,802,890,799.5,21.31K,3.80%
22-Nov-13,802,764.9,822,682.3,30.15K,4.85%
21-Nov-13,764.9,638,784.3,595.2,38.73K,19.90%
20-Nov-13,638,645.7,650,453.3,91.59K,-1.20%
19-Nov-13,645.7,785.4,900.9,502.6,99.10K,-17.79%
18-Nov-13,785.4,528.3,787.9,522,72.07K,48.67%
17-Nov-13,528.3,462,536.8,457,26.72K,14.36%
16-Nov-13,462,433.9,476.9,428,19.14K,6.46%
15-Nov-13,433.9,433.4,457.9,413,28.13K,0.12%
14-Nov-13,433.4,434.9,447.5,402.5,31.41K,-0.33%
13-Nov-13,434.9,380,445,372.2,36.02K,14.42%
12-Nov-13,380,363,391.8,359,22.03K,4.70%
11-Nov-13,363,336.3,376,321.4,18.00K,7.93%
10-Nov-13,336.3,367.8,372.5,290,74.25K,-8.56%
9-Nov-13,367.8,355,395,340,49.91K,3.60%
8-Nov-13,355,309.6,358,308,44.63K,14.65%
7-Nov-13,309.6,264.1,324.2,263.6,86.13K,17.25%
6-Nov-13,264.1,251.3,272.5,251.4,38.82K,5.09%
5-Nov-13,251.3,238.2,258.9,229,45.10K,5.52%
4-Nov-13,238.2,224,239,221.9,18.06K,6.32%
3-Nov-13,224,211.7,226.9,212.1,12.27K,5.82%
2-Nov-13,211.7,213.4,214.9,211,4.88K,-0.82%
1-Nov-13,213.4,211.2,214.9,209.7,5.88K,1.07%
31-Oct-13,211.2,208,215,205.4,5.29K,1.52%
30-Oct-13,208,216,216.5,204,13.47K,-3.70%
29-Oct-13,216,206.9,216.5,204.2,10.02K,4.40%
28-Oct-13,206.9,206.9,209.8,200.4,11.07K,0.00%
27-Oct-13,206.9,188.6,207.8,188.9,13.16K,9.73%
26-Oct-13,188.6,197.9,198.4,187,12.09K,-4.71%
25-Oct-13,197.9,207,209,176.6,36.75K,-4.40%
24-Oct-13,207,228,233.4,175.3,96.75K,-9.21%
23-Oct-13,228,203,228,200.7,39.90K,12.31%
22-Oct-13,203,192.8,205.5,192.8,33.87K,5.30%
21-Oct-13,192.8,186.1,197.4,183.2,24.10K,3.59%
20-Oct-13,186.1,183.1,186.1,177.2,11.42K,1.61%
19-Oct-13,183.1,168.3,195.8,167.1,55.28K,8.84%
