Date,Price,Open,High,Low,Vol,ChangePct
31-Dec-19,"7,196.40","7,261.50","7,331.00","7,167.40",586.60K,-0.90%
30-Dec-19,"7,261.80","7,397.50","7,420.90","7,244.10",606.11K,-1.84%
29-Dec-19,"7,397.50","7,321.60","7,518.90","7,303.00",611.69K,1.04%
28-Dec-19,"7,321.50","7,261.90","7,375.90","7,256.50",610.96K,0.82%
27-Dec-19,"7,261.70","7,210.80","7,293.80","7,128.50",718.07K,0.70%
26-Dec-19,"7,210.90","7,225.00","7,414.30","7,177.30",795.09K,-0.19%
25-Dec-19,"7,224.80","7,268.30","7,542.40","7,150.90",625.41K,-0.60%
24-Dec-19,"7,268.30","7,322.40","7,433.20","7,185.70",785.54K,-0.74%
23-Dec-19,"7,322.80","7,496.20","7,684.00","7,276.20",952.16K,-2.31%
22-Dec-19,"7,495.80","7,156.30","7,501.10","7,142.00",677.94K,4.74%
21-Dec-19,"7,156.20","7,196.40","7,197.60","7,129.60",468.74K,-0.56%
20-Dec-19,"7,196.40","7,165.50","7,218.40","7,107.70",627.04K,0.43%
19-Dec-19,"7,165.50","7,276.40","7,354.00","7,039.30",778.72K,-1.52%
18-Dec-19,"7,276.00","6,613.50","7,387.70","6,462.20",1.14M,10.02%
17-Dec-19,"6,613.30","6,903.50","6,943.50","6,575.00",894.55K,-4.20%
16-Dec-19,"6,903.50","7,128.50","7,153.10","6,864.60",689.56K,-3.16%
15-Dec-19,"7,128.50","7,080.80","7,175.80","7,033.80",492.58K,0.67%
14-Dec-19,"7,080.80","7,255.20","7,267.40","7,043.30",524.56K,-2.40%
13-Dec-19,"7,255.20","7,208.40","7,288.00","7,200.30",503.49K,0.65%
12-Dec-19,"7,208.00","7,208.00","7,272.40","7,124.60",611.80K,0.00%
11-Dec-19,"7,208.00","7,235.80","7,284.40","7,168.80",518.40K,-0.38%
10-Dec-19,"7,235.70","7,356.20","7,400.30","7,192.10",609.50K,-1.63%
9-Dec-19,"7,355.80","7,524.80","7,626.00","7,321.60",648.66K,-2.24%
8-Dec-19,"7,524.40","7,510.80","7,576.40","7,416.70",499.04K,0.18%
7-Dec-19,"7,510.90","7,530.40","7,595.70","7,489.60",557.14K,-0.26%
6-Dec-19,"7,530.80","7,399.20","7,552.10","7,329.80",706.10K,1.78%
5-Dec-19,"7,399.20","7,204.60","7,476.30","7,184.00",780.78K,2.70%
4-Dec-19,"7,204.40","7,291.90","7,702.20","7,113.60",971.75K,-1.20%
3-Dec-19,"7,291.80","7,298.10","7,389.40","7,227.10",548.77K,-0.09%
2-Dec-19,"7,298.20","7,395.90","7,433.80","7,173.60",687.78K,-1.33%
1-Dec-19,"7,396.40","7,546.50","7,546.50","7,244.40",777.00K,-1.99%
30-Nov-19,"7,546.60","7,742.70","7,787.70","7,472.70",650.60K,-2.53%
29-Nov-19,"7,742.70","7,426.60","7,825.30","7,412.30",766.71K,4.26%
28-Nov-19,"7,426.70","7,510.60","7,639.50","7,380.60",737.58K,-1.12%
27-Nov-19,"7,510.60","7,162.80","7,636.90","6,875.40",996.49K,4.86%
26-Nov-19,"7,162.80","7,115.50","7,329.50","7,045.10",844.27K,0.66%
25-Nov-19,"7,115.60","6,924.70","7,352.80","6,534.80",1.29M,2.76%
24-Nov-19,"6,924.70","7,325.00","7,344.10","6,894.90",904.50K,-5.45%
23-Nov-19,"7,324.10","7,271.60","7,342.50","7,093.70",783.18K,0.71%
22-Nov-19,"7,272.50","7,627.90","7,700.90","6,818.50",1.41M,-4.66%
21-Nov-19,"7,627.90","8,099.40","8,129.60","7,519.70",891.50K,-5.82%
20-Nov-19,"8,099.30","8,145.70","8,223.00","8,074.20",607.27K,-0.57%
19-Nov-19,"8,145.70","8,207.70","8,245.60","8,032.80",654.27K,-0.76%
18-Nov-19,"8,208.40","8,510.30","8,516.30","8,110.40",692.60K,-3.54%
17-Nov-19,"8,509.80","8,497.40","8,631.70","8,413.00",531.22K,0.15%
16-Nov-19,"8,497.30","8,476.20","8,532.80","8,450.70",471.16K,0.25%
15-Nov-19,"8,476.30","8,660.80","8,761.80","8,437.10",653.71K,-2.13%
14-Nov-19,"8,661.20","8,782.90","8,799.80","8,615.80",515.43K,-1.39%
13-Nov-19,"8,783.10","8,813.20","8,829.70","8,721.10",454.33K,-0.33%
12-Nov-19,"8,812.60","8,737.40","8,841.20","8,615.70",575.16K,0.87%
11-Nov-19,"8,736.90","9,036.90","9,066.40","8,649.40",601.16K,-3.32%
10-Nov-19,"9,036.80","8,804.70","9,092.90","8,763.50",581.57K,2.64%
9-Nov-19,"8,804.50","8,778.10","8,877.50","8,746.90",512.02K,0.30%
8-Nov-19,"8,778.20","9,223.60","9,254.80","8,722.40",791.79K,-4.83%
7-Nov-19,"9,223.50","9,339.20","9,367.00","9,130.00",603.54K,-1.24%
6-Nov-19,"9,338.90","9,311.20","9,424.60","9,262.70",578.03K,0.30%
5-Nov-19,"9,310.80","9,396.10","9,452.70","9,193.90",653.42K,-0.91%
4-Nov-19,"9,396.40","9,198.70","9,500.40","9,134.10",681.01K,2.15%
3-Nov-19,"9,198.30","9,300.50","9,359.10","9,095.00",536.56K,-1.10%
2-Nov-19,"9,300.60","9,230.30","9,356.70","9,201.20",570.74K,0.76%
1-Nov-19,"9,230.10","9,153.10","9,270.40","9,057.20",689.65K,0.85%
31-Oct-19,"9,152.60","9,157.90","9,378.90","8,959.60",798.93K,-0.06%
30-Oct-19,"9,157.90","9,411.30","9,411.30","9,018.40",789.73K,-2.69%
29-Oct-19,"9,411.30","9,206.50","9,531.30","9,125.30",918.48K,2.22%
28-Oct-19,"9,207.20","9,530.10","9,866.90","9,202.50",1.04M,-3.38%
27-Oct-19,"9,529.60","9,230.60","9,773.20","9,081.00",1.16M,3.24%
26-Oct-19,"9,230.60","8,658.40","10,540.00","8,061.80",1.78M,6.61%
25-Oct-19,"8,658.30","7,422.80","8,697.70","7,404.90",1.18M,16.65%
24-Oct-19,"7,422.70","7,476.80","7,501.50","7,366.30",586.49K,-0.73%
23-Oct-19,"7,477.00","8,031.00","8,055.00","7,329.20",892.08K,-6.90%
22-Oct-19,"8,031.40","8,207.40","8,289.10","8,017.70",570.39K,-2.15%
21-Oct-19,"8,208.20","8,224.10","8,315.30","8,155.70",489.40K,-0.18%
20-Oct-19,"8,223.40","7,957.40","8,288.50","7,889.60",513.91K,3.34%
19-Oct-19,"7,957.30","7,948.30","8,060.20","7,892.40",428.83K,0.11%
18-Oct-19,"7,948.50","8,073.30","8,116.40","7,842.00",505.79K,-1.55%
17-Oct-19,"8,073.30","8,000.40","8,118.20","7,944.40",444.95K,0.91%
16-Oct-19,"8,000.40","8,167.10","8,185.90","7,929.80",538.92K,-2.04%
15-Oct-19,"8,167.20","8,353.40","8,400.20","8,139.50",469.73K,-2.23%
14-Oct-19,"8,353.30","8,281.30","8,374.30","8,222.20",505.02K,0.87%
13-Oct-19,"8,281.50","8,304.30","8,450.20","8,190.60",419.87K,-0.28%
12-Oct-19,"8,304.40","8,267.60","8,394.80","8,260.90",424.02K,0.44%
11-Oct-19,"8,267.80","8,562.20","8,751.10","8,249.70",667.86K,-3.44%
10-Oct-19,"8,562.30","8,566.80","8,638.50","8,438.70",511.46K,-0.05%
9-Oct-19,"8,566.70","8,180.10","8,655.90","8,122.70",636.43K,4.69%
8-Oct-19,"8,182.90","8,198.50","8,323.10","8,118.10",469.04K,-0.19%
7-Oct-19,"8,198.60","7,882.60","8,293.50","7,797.00",604.74K,4.02%
6-Oct-19,"7,881.90","8,127.30","8,145.50","7,834.90",448.80K,-3.02%
5-Oct-19,"8,127.30","8,148.00","8,185.10","8,030.60",360.92K,-0.25%
4-Oct-19,"8,148.10","8,227.60","8,233.60","8,041.40",416.92K,-0.96%
3-Oct-19,"8,226.90","8,363.60","8,391.70","8,090.10",460.97K,-1.64%
2-Oct-19,"8,364.10","8,302.70","8,374.00","8,167.70",405.86K,0.74%
1-Oct-19,"8,302.70","8,285.00","8,486.20","8,187.90",533.95K,0.22%
30-Sep-19,"8,284.30","8,048.90","8,318.50","7,749.00",600.26K,2.92%
29-Sep-19,"8,049.10","8,208.00","8,226.80","7,922.10",418.48K,-1.94%
28-Sep-19,"8,208.50","8,184.50","8,297.20","8,031.10",457.79K,0.29%
27-Sep-19,"8,184.90","8,063.80","8,257.40","7,882.10",561.40K,1.50%
26-Sep-19,"8,063.80","8,432.50","8,463.10","7,773.60",731.03K,-4.37%
25-Sep-19,"8,432.40","8,512.30","8,729.80","8,245.10",696.11K,-0.96%
24-Sep-19,"8,513.90","9,702.70","9,793.80","8,069.40",933.16K,-12.25%
23-Sep-19,"9,702.20","10,031.30","10,048.80","9,656.30",431.10K,-3.28%
22-Sep-19,"10,031.60","9,993.00","10,075.00","9,870.90",337.06K,0.39%
21-Sep-19,"9,993.00","10,172.80","10,177.90","9,939.80",326.17K,-1.77%
20-Sep-19,"10,172.70","10,251.50","10,279.50","10,088.60",362.07K,-0.76%
19-Sep-19,"10,250.50","10,164.60","10,297.60","9,707.60",542.25K,0.84%
18-Sep-19,"10,164.70","10,195.70","10,257.50","10,119.30",318.82K,-0.30%
